,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,"West, Miss. Barbara J",female,0.92,1,2,C.A. 34651,27.75,,S
1,1,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818,12.35,,Q
2,2,3,"Yousseff, Mr. Gerious",male,,0,0,2627,14.4583,,C
3,3,3,"Torfa, Mr. Assad",male,,0,0,2673,7.2292,,C
4,4,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q
5,5,1,"Loring, Mr. Joseph Holland",male,30.0,0,0,113801,45.5,,S
6,6,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,1,0,236853,26.0,,S
7,7,2,"Berriman, Mr. William John",male,23.0,0,0,28425,13.0,,S
8,8,3,"Thomas, Mr. Tannous",male,,0,0,2684,7.225,,C
9,9,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S
10,10,3,"Abbing, Mr. Anthony",male,42.0,0,0,C.A. 5547,7.55,,S
11,11,3,"Thomas, Mrs. Alexander (Thamine Thelma"")""",female,16.0,1,1,2625,8.5167,,C
12,12,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,0,0,348121,7.65,F G63,S
13,13,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S
14,14,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,11751,52.5542,D35,S
15,15,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,C
16,16,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,,S
17,17,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,,S
18,18,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S
19,19,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52.0,1,0,36947,78.2667,D20,C
20,20,3,"MacKay, Mr. George William",male,,0,0,C.A. 42795,7.55,,S
21,21,1,"Spedden, Mr. Frederic Oakley",male,45.0,1,1,16966,134.5,E34,C
22,22,1,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,C23 C25 C27,S
23,23,3,"Sage, Miss. Stella Anna",female,,8,2,CA. 2343,69.55,,S
24,24,3,"Asplund, Master. Carl Edgar",male,5.0,4,2,347077,31.3875,,S
25,25,2,"Lehmann, Miss. Bertha",female,17.0,0,0,SC 1748,12.0,,C
26,26,3,"Murphy, Miss. Katherine ""Kate""",female,,1,0,367230,15.5,,Q
27,27,3,"Murdlin, Mr. Joseph",male,,0,0,A./5. 3235,8.05,,S
28,28,3,"Thomas, Mr. Charles P",male,,1,0,2621,6.4375,,C
29,29,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S
30,30,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S
31,31,2,"Mitchell, Mr. Henry Michael",male,70.0,0,0,C.A. 24580,10.5,,S
32,32,3,"Lahoud, Mr. Sarkis",male,,0,0,2624,7.225,,C
33,33,3,"Andersson, Miss. Ebba Iris Alfrida",female,6.0,4,2,347082,31.275,,S
34,34,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C
35,35,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q
36,36,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,113760,120.0,B96 B98,S
37,37,2,"Hocking, Mr. Richard George",male,23.0,2,1,29104,11.5,,S
38,38,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,C
39,39,3,"Holthen, Mr. Johan Martin",male,28.0,0,0,C 4001,22.525,,S
40,40,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q
41,41,3,"Jensen, Mr. Hans Peder",male,20.0,0,0,350050,7.8542,,S
42,42,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1,0,2003,26.0,,S
43,43,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S
44,44,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,1,0,PC 17761,106.425,C86,C
45,45,3,"Lefebre, Miss. Ida",female,,3,1,4133,25.4667,,S
46,46,3,"Boulos, Mr. Hanna",male,,0,0,2664,7.225,,C
47,47,3,"Cor, Mr. Liudevit",male,19.0,0,0,349231,7.8958,,S
48,48,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,1,1,28220,32.5,,S
49,49,1,"Ryerson, Mr. Arthur Larned",male,61.0,1,3,PC 17608,262.375,B57 B59 B63 B66,C
50,50,3,"Carr, Miss. Jeannie",female,37.0,0,0,368364,7.75,,Q
51,51,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C
